reach_id;FromN;ToN;Slope;Wac;Q;n;D16;D50;D84;Length;x_FN;y_FN;x_TN;y_TN;el_FN;el_TN;deposit
126;126;127;0.022;14.13012464;5.570966388;0.1;0.00071;0.00141;0.002;2411.787156;722875;5934965;723945;5933725;998.0591506;944.9998332;0
127;127;128;0.022;14.13012464;5.570966388;0.1;0.00071;0.00141;0.002;2406.934342;723975;5933715;723885;5932445;944.9998332;892.0472777;0
128;128;129;0.022;14.13012464;5.570966388;0.1;0.00071;0.00141;0.002;2405.218613;723875;5932435;723785;5930695;892.0472777;839.1324682;0
129;129;130;0.022;14.13012464;5.570966388;0.1;0.00071;0.00141;0.002;2404.507935;723775;5930665;723395;5929555;839.1324682;786.2332936;0
130;130;131;0.022;14.13012464;5.570966388;0.1;0.00071;0.00141;0.002;2424.213562;723395;5929545;724625;5928975;786.2332936;732.9005953;0
131;131;132;0.037;31.19363644;64.23204885;0.1;0.00071;0.00141;0.002;1950.365799;724645;5928955;725105;5928525;732.9005953;660.7370607;0
132;132;133;0.037;31.19363644;64.23204885;0.1;0.00071;0.00141;0.002;1971.37085;725115;5928535;725715;5928075;660.7370607;587.7963392;0
133;133;134;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2237.939392;725725;5928065;726225;5927545;587.7963392;569.8928241;0
134;134;135;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2245.512986;726225;5927535;727005;5926505;569.8928241;551.9287202;0
135;135;136;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2233.502884;727025;5926485;727585;5925565;551.9287202;534.0606972;0
136;136;137;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2241.076477;727595;5925575;728585;5925275;534.0606972;516.1320853;0
137;137;138;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2239.655121;728605;5925265;729765;5924955;516.1320853;498.2148444;0
138;138;139;0.008;49.1;104.4709912;0.1;0.00071;0.00141;0.002;2256.934342;729775;5924965;731375;5924925;498.2148444;480.1593696;0
139;139;140;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2232.792206;731395;5924925;732725;5926115;480.1593696;453.3658632;0
140;140;141;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2235.929291;732735;5926115;733875;5927665;453.3658632;426.5347117;0
141;141;142;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2222.792206;733895;5927675;734695;5929405;426.5347117;399.8612052;0
142;142;143;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2243.797257;734685;5929415;735855;5930165;399.8612052;372.9356381;0
143;143;144;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2238.233765;735885;5930165;736395;5930645;372.9356381;346.0768329;0
144;144;145;0.012;35.1;129.2262534;0.1;0.00071;0.002;0.004;2244.802307;736405;5930655;738165;5930845;346.0768329;319.1392052;0
145;145;146;0.012;44.72;132.8116684;0.1;0.00071;0.002;0.004;1924.802307;738165;5930825;738545;5931245;319.1392052;296.0415775;0
146;146;147;0.012;55.9;132.8116684;0.1;0.00071;0.002;0.004;1920.660172;738545;5931255;739525;5931515;296.0415775;272.9936555;150
147;147;148;0.012;55.9;132.8116684;0.1;0.00071;0.002;0.004;1931.665222;739535;5931505;739905;5932245;272.9936555;249.8136728;150
148;148;149;0.012;55.9;132.8116684;0.1;0.00071;0.002;0.004;1928.528137;739895;5932275;740635;5933155;249.8136728;226.6713352;150
149;149;150;0.012;44.72;132.8116684;0.1;0.00071;0.002;0.004;1939.238816;740635;5933165;741145;5931915;226.6713352;203.4004694;0
150;150;151;0.012;44.72;132.8116684;0.1;0.00071;0.002;0.004;1931.665222;741135;5931905;741535;5931075;203.4004694;180.2204867;0
151;151;152;0.012;60.08;153.1828704;0.1;0.0005;0.00118;0.00283;2212.081528;741555;5931095;742575;5931435;180.2204867;153.6755084;0
152;152;153;0.012;60.08;153.1828704;0.1;0.0005;0.00118;0.00283;2219.360749;742585;5931425;743635;5932285;153.6755084;127.0431794;0
153;153;88;0.012;60.08;153.1828704;0.1;0.0005;0.00118;0.00283;2224.507935;743635;5932295;744385;5932865;127.0431794;100.3490842;0
154;154;155;0.032862;13.0403284;4.348218316;0.1;0.0005;0.00141;0.00283;2306.934342;727215;5919215;728615;5918715;733.7859222;657.9754458;0
155;155;156;0.032862;13.0403284;4.348218316;0.1;0.0005;0.00141;0.00283;2316.223664;728615;5918705;729685;5918045;657.9754458;581.8597038;0
156;156;157;0.022646;12.91505304;4.277613895;0.1;0.0005;0.00141;0.00283;2434.92424;729695;5918035;730935;5917955;581.8597038;526.7184094;0
157;157;158;0.022646;12.91505304;4.277613895;0.1;0.0005;0.00141;0.00283;2452.792206;730945;5917965;732075;5918905;526.7184094;471.1724771;0
158;158;159;0.007;16;43.9889105;0.1;0.0005;0.00141;0.00283;1941.37085;732065;5918915;732665;5920075;471.1724771;457.5828812;0
159;159;160;0.007;16;43.9889105;0.1;0.0005;0.00141;0.00283;1944.091629;732675;5920075;733695;5920445;457.5828812;443.9742398;0
160;160;161;0.007;16;43.9889105;0.1;0.0005;0.00141;0.00283;1949.949494;733715;5920455;735095;5920845;443.9742398;430.3245933;0
161;161;162;0.007;16;43.9889105;0.1;0.0005;0.00141;0.00283;1948.944443;735105;5920845;736565;5920825;430.3245933;416.6819822;0
162;162;163;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1663.086579;736575;5920855;737645;5921855;416.6819822;391.7356835;0
163;163;164;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1679.238816;737655;5921865;738165;5922825;391.7356835;366.5471013;0
164;164;165;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1677.523087;738165;5922815;739015;5922925;366.5471013;341.384255;0
165;165;166;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1675.09668;739025;5922945;739845;5923995;341.384255;316.2578048;0
166;166;167;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1670.954544;739845;5924005;739445;5924885;316.2578048;291.1934866;0
167;167;168;0.015;33.2;89.51790904;0.1;0.00071;0.001;0.002;1675.807358;739445;5924895;740195;5925855;291.1934866;266.0563763;0
168;168;169;0.009;27.49351076;70.29043864;0.1;0.00071;0.001;0.002;462.8427125;740205;5925875;740555;5926085;266.0563763;261.8907919;0
169;169;170;0.009;23.84249513;93.64134659;0.1;0.0005;0.00118;0.00283;2008.528137;740555;5926085;740755;5927035;261.8907919;243.8140386;0
170;170;171;0.009;23.84249513;93.64134659;0.1;0.0005;0.00118;0.00283;2026.223664;740745;5927035;740825;5928095;243.8140386;225.5780256;0
